,ZCTA,OWN,RENT
14963,ZCTA5 46038,78.8,21.2
14964,ZCTA5 46039,91.9,8.1
14965,ZCTA5 46040,80.8,19.2
14966,ZCTA5 46041,69.3,30.7
14967,ZCTA5 46044,82.5,17.5
14968,ZCTA5 46045,100.0,0.0
14969,ZCTA5 46047,0.0,100.0
14970,ZCTA5 46048,75.8,24.2
14971,ZCTA5 46049,90.9,9.1
14972,ZCTA5 46050,82.3,17.7
14973,ZCTA5 46051,81.0,19.0
14974,ZCTA5 46052,70.2,29.8
14975,ZCTA5 46055,90.6,9.4
14976,ZCTA5 46056,86.3,13.7
14977,ZCTA5 46057,58.6,41.4
14978,ZCTA5 46058,79.1,20.9
14979,ZCTA5 46060,70.5,29.5
14980,ZCTA5 46062,81.9,18.1
14981,ZCTA5 46063,74.1,25.9
14982,ZCTA5 46064,76.6,23.4
14983,ZCTA5 46065,84.2,15.8
14984,ZCTA5 46068,79.5,20.5
14985,ZCTA5 46069,72.9,27.1
14986,ZCTA5 46070,81.6,18.4
14987,ZCTA5 46071,77.5,22.5
14988,ZCTA5 46072,73.4,26.6
14989,ZCTA5 46074,81.0,19.0
14990,ZCTA5 46075,82.0,18.0
14991,ZCTA5 46076,83.5,16.5
14992,ZCTA5 46077,83.3,16.7
14993,ZCTA5 46103,71.2,28.8
14994,ZCTA5 46104,86.9,13.1
14995,ZCTA5 46105,75.8,24.2
14996,ZCTA5 46106,81.1,18.9
14997,ZCTA5 46107,62.2,37.8
14998,ZCTA5 46110,90.2,9.8
14999,ZCTA5 46111,60.3,39.7
15000,ZCTA5 46112,84.0,16.0
15001,ZCTA5 46113,78.8,21.2
15002,ZCTA5 46115,74.4,25.6
15003,ZCTA5 46117,92.8,7.2
15004,ZCTA5 46118,86.0,14.0
15005,ZCTA5 46120,83.2,16.8
15006,ZCTA5 46121,88.4,11.6
15007,ZCTA5 46122,78.5,21.5
15008,ZCTA5 46123,85.1,14.9
15009,ZCTA5 46124,63.7,36.3
15010,ZCTA5 46125,71.9,28.1
15011,ZCTA5 46126,84.9,15.1
15012,ZCTA5 46127,88.4,11.6
15013,ZCTA5 46128,88.1,11.9
15014,ZCTA5 46130,83.3,16.7
15015,ZCTA5 46131,67.6,32.4
15016,ZCTA5 46133,87.7,12.3
15017,ZCTA5 46135,74.3,25.7
15018,ZCTA5 46140,75.3,24.7
15019,ZCTA5 46142,75.4,24.6
15020,ZCTA5 46143,69.7,30.3
15021,ZCTA5 46144,78.0,22.0
15022,ZCTA5 46146,100.0,0.0
15023,ZCTA5 46147,84.3,15.7
15024,ZCTA5 46148,78.5,21.5
15025,ZCTA5 46149,85.3,14.7
15026,ZCTA5 46150,92.1,7.9
15027,ZCTA5 46151,73.8,26.2
15028,ZCTA5 46155,83.3,16.7
15029,ZCTA5 46156,71.2,28.8
15030,ZCTA5 46157,90.3,9.7
15031,ZCTA5 46158,77.7,22.3
15032,ZCTA5 46160,80.4,19.6
15033,ZCTA5 46161,81.9,18.1
15034,ZCTA5 46162,100.0,0.0
15035,ZCTA5 46163,90.0,10.0
15036,ZCTA5 46164,90.4,9.6
15037,ZCTA5 46165,88.9,11.1
15038,ZCTA5 46166,68.5,31.5
15039,ZCTA5 46167,92.2,7.8
15040,ZCTA5 46168,76.6,23.4
15041,ZCTA5 46171,87.3,12.7
15042,ZCTA5 46172,78.2,21.8
15043,ZCTA5 46173,66.9,33.1
15044,ZCTA5 46175,81.7,18.3
15045,ZCTA5 46176,63.1,36.9
15046,ZCTA5 46180,74.7,25.3
15047,ZCTA5 46181,83.2,16.8
15048,ZCTA5 46182,86.2,13.8
15049,ZCTA5 46183,100.0,0.0
15050,ZCTA5 46184,86.4,13.6
15051,ZCTA5 46186,85.9,14.1
15052,ZCTA5 46201,42.6,57.4
15053,ZCTA5 46202,26.3,73.7
15054,ZCTA5 46203,57.2,42.8
15055,ZCTA5 46204,17.1,82.9
15056,ZCTA5 46205,45.9,54.1
15057,ZCTA5 46208,45.6,54.4
15058,ZCTA5 46214,47.1,52.9
15059,ZCTA5 46216,38.7,61.3
15060,ZCTA5 46217,81.2,18.8
15061,ZCTA5 46218,48.6,51.4
15062,ZCTA5 46219,63.5,36.5
15063,ZCTA5 46220,61.9,38.1
15064,ZCTA5 46221,68.7,31.3
15065,ZCTA5 46222,45.2,54.8
15066,ZCTA5 46224,35.1,64.9
15067,ZCTA5 46225,41.5,58.5
15068,ZCTA5 46226,49.1,50.9
15069,ZCTA5 46227,46.4,53.6
15070,ZCTA5 46228,77.2,22.8
15071,ZCTA5 46229,59.8,40.2
15072,ZCTA5 46231,91.5,8.5
15073,ZCTA5 46234,84.1,15.9
15074,ZCTA5 46235,53.1,46.9
15075,ZCTA5 46236,86.6,13.4
15076,ZCTA5 46237,67.3,32.7
15077,ZCTA5 46239,84.4,15.6
15078,ZCTA5 46240,49.2,50.8
15079,ZCTA5 46241,57.7,42.3
15080,ZCTA5 46250,43.8,56.2
15081,ZCTA5 46254,46.3,53.7
15082,ZCTA5 46256,70.6,29.4
15083,ZCTA5 46259,98.1,1.9
15084,ZCTA5 46260,45.8,54.2
15085,ZCTA5 46268,48.2,51.8
15086,ZCTA5 46278,91.7,8.3
15087,ZCTA5 46280,60.1,39.9
15088,ZCTA5 46290,87.3,12.7
15089,ZCTA5 46301,86.8,13.2
15090,ZCTA5 46303,80.5,19.5
15091,ZCTA5 46304,77.3,22.7
15092,ZCTA5 46307,82.7,17.3
15093,ZCTA5 46310,87.1,12.9
15094,ZCTA5 46311,92.8,7.2
