,ZCTA,marriedPercent
153,ZCTA5 01034,0.7019397163120568
154,ZCTA5 01035,0.5958825095057034
155,ZCTA5 01036,0.7567529411764704
156,ZCTA5 01037,0.7647058823529411
157,ZCTA5 01038,0.6166987012987013
158,ZCTA5 01039,0.5195768348623853
159,ZCTA5 01040,0.4570122695445494
160,ZCTA5 01050,0.7000954504906334
161,ZCTA5 01053,0.4363256767842494
162,ZCTA5 01054,0.7063641791044777
163,ZCTA5 01056,0.6893363331737674
164,ZCTA5 01057,0.6231419710544452
165,ZCTA5 01060,0.41490019780615
166,ZCTA5 01062,0.5624310279667422
167,ZCTA5 01063,0.0
168,ZCTA5 01066,0.0
169,ZCTA5 01068,0.719687912087912
170,ZCTA5 01069,0.6228966674658355
171,ZCTA5 01070,0.5926030927835052
172,ZCTA5 01071,0.7201414141414141
173,ZCTA5 01072,0.580913612565445
174,ZCTA5 01073,0.7427022572554639
175,ZCTA5 01074,0.0
176,ZCTA5 01075,0.5647890931372549
177,ZCTA5 01077,0.7128272017837235
178,ZCTA5 01079,0.45848221343873524
179,ZCTA5 01080,0.4727336842105263
180,ZCTA5 01081,0.699600715137068
181,ZCTA5 01082,0.5698659517426273
182,ZCTA5 01083,0.49645843045843047
183,ZCTA5 01084,0.6314062500000001
184,ZCTA5 01085,0.6124367775831875
185,ZCTA5 01086,0.0
186,ZCTA5 01088,0.3723138686131387
187,ZCTA5 01089,0.5657808877111627
188,ZCTA5 01092,0.5312765486725664
189,ZCTA5 01093,0.6570685714285714
190,ZCTA5 01094,0.2500982142857143
191,ZCTA5 01095,0.694489584648403
192,ZCTA5 01096,0.6414007155635063
193,ZCTA5 01097,0.0
194,ZCTA5 01098,0.6531291291291292
195,ZCTA5 01103,0.22237425149700601
196,ZCTA5 01104,0.432106120601878
197,ZCTA5 01105,0.25643178117876914
198,ZCTA5 01106,0.7550394802598701
199,ZCTA5 01107,0.3411677186654644
200,ZCTA5 01108,0.465296605050139
201,ZCTA5 01109,0.4275323008380184
202,ZCTA5 01118,0.5654483498349835
203,ZCTA5 01119,0.5093263333952797
204,ZCTA5 01128,0.734522205206738
205,ZCTA5 01129,0.5825208670333226
206,ZCTA5 01151,0.4356865123116501
207,ZCTA5 01199,0.0
208,ZCTA5 01201,0.5130341680528705
209,ZCTA5 01220,0.5756953275529866
210,ZCTA5 01222,0.5157156626506024
211,ZCTA5 01223,0.606516129032258
212,ZCTA5 01224,0.7140879120879121
213,ZCTA5 01225,0.6412617283950618
214,ZCTA5 01226,0.600078947368421
215,ZCTA5 01229,0.2222222222222222
216,ZCTA5 01230,0.5608115675923802
217,ZCTA5 01235,0.660545871559633
218,ZCTA5 01236,0.4993320463320463
219,ZCTA5 01237,0.5918330522765598
220,ZCTA5 01238,0.6084542829643889
221,ZCTA5 01240,0.5701344839985616
222,ZCTA5 01242,0.8478571428571429
223,ZCTA5 01243,0.6363801652892561
224,ZCTA5 01244,0.6296851851851852
225,ZCTA5 01245,0.6465653153153152
226,ZCTA5 01247,0.5253527655339115
227,ZCTA5 01253,0.7119754464285714
228,ZCTA5 01254,0.6736672
229,ZCTA5 01255,0.6332410358565737
230,ZCTA5 01256,0.6606666666666667
231,ZCTA5 01257,0.6419675174013921
232,ZCTA5 01258,0.46233193277310924
233,ZCTA5 01259,0.76725
234,ZCTA5 01260,0.3443114754098361
235,ZCTA5 01262,0.5584158415841584
236,ZCTA5 01264,0.4221333333333333
237,ZCTA5 01266,0.6010267558528429
238,ZCTA5 01267,0.5779831476720937
239,ZCTA5 01270,0.7171582278481012
240,ZCTA5 01301,0.5253939357478041
241,ZCTA5 01330,0.6119440639269405
242,ZCTA5 01331,0.5672178284182307
243,ZCTA5 01337,0.646170830519919
244,ZCTA5 01338,0.5688965517241379
245,ZCTA5 01339,0.5237933701657459
246,ZCTA5 01340,0.6361695278969958
247,ZCTA5 01341,0.6401007751937984
248,ZCTA5 01342,0.5036291486291486
249,ZCTA5 01343,0.8572321428571428
250,ZCTA5 01344,0.6260367278797996
251,ZCTA5 01346,0.6872989690721649
252,ZCTA5 01347,0.0
253,ZCTA5 01349,0.5284532520325204
254,ZCTA5 01350,0.5000185185185185
255,ZCTA5 01351,0.600013157894737
256,ZCTA5 01354,0.7594504716981131
257,ZCTA5 01355,0.6803240938166312
258,ZCTA5 01360,0.6423526048284625
259,ZCTA5 01364,0.5047732782369145
