,GEO.display-label,PoorFucks,HC02_EST_VC09,HC02_EST_VC10,RichFucks
178,ZCTA5 01079,72.30000000000001,0.0,3.5,24.2
179,ZCTA5 01080,34.800000000000004,15.4,18.0,31.9
180,ZCTA5 01081,36.3,12.7,21.4,29.7
181,ZCTA5 01082,28.299999999999994,19.3,16.4,36.0
182,ZCTA5 01083,37.3,7.0,10.4,45.300000000000004
183,ZCTA5 01084,17.7,13.5,14.9,54.099999999999994
184,ZCTA5 01085,24.7,14.8,20.0,40.5
185,ZCTA5 01086,0.0,0.0,0.0,0.0
186,ZCTA5 01088,23.7,24.2,29.4,22.7
187,ZCTA5 01089,35.1,13.6,18.7,32.5
188,ZCTA5 01092,19.7,3.1,24.5,52.599999999999994
189,ZCTA5 01093,14.2,5.0,13.5,67.4
190,ZCTA5 01094,63.2,3.2,3.7,30.1
191,ZCTA5 01095,16.900000000000002,9.1,8.9,65.1
192,ZCTA5 01096,19.0,11.8,16.9,52.5
193,ZCTA5 01097,82.3,0.0,17.6,0.0
194,ZCTA5 01098,23.700000000000003,7.9,17.6,50.900000000000006
195,ZCTA5 01103,68.3,9.4,10.6,11.7
196,ZCTA5 01104,55.1,14.8,10.9,19.200000000000003
197,ZCTA5 01105,73.7,10.8,5.3,10.2
198,ZCTA5 01106,15.200000000000001,6.9,10.3,67.6
199,ZCTA5 01107,58.9,13.0,11.7,16.4
200,ZCTA5 01108,47.2,12.1,16.5,24.3
201,ZCTA5 01109,49.7,15.7,15.1,19.6
202,ZCTA5 01118,27.6,13.2,21.1,38.1
203,ZCTA5 01119,38.3,12.1,21.4,28.099999999999998
204,ZCTA5 01128,23.0,7.5,25.6,43.900000000000006
205,ZCTA5 01129,23.500000000000004,13.2,25.9,37.3
206,ZCTA5 01151,43.8,18.5,13.8,23.8
207,ZCTA5 01199,0.0,0.0,0.0,0.0
208,ZCTA5 01201,37.2,14.6,15.5,32.7
209,ZCTA5 01220,31.5,18.8,19.8,29.9
210,ZCTA5 01222,19.5,14.1,18.1,48.300000000000004
211,ZCTA5 01223,19.500000000000004,11.1,17.9,51.5
212,ZCTA5 01224,38.7,37.1,15.3,8.9
213,ZCTA5 01225,25.5,12.7,23.2,38.699999999999996
214,ZCTA5 01226,25.900000000000002,16.5,24.3,33.4
215,ZCTA5 01229,77.0,0.0,10.4,12.5
216,ZCTA5 01230,23.1,16.6,17.0,43.4
217,ZCTA5 01235,21.799999999999997,14.8,22.5,41.0
218,ZCTA5 01236,21.1,16.4,23.4,39.1
219,ZCTA5 01237,16.2,9.3,19.3,55.2
220,ZCTA5 01238,25.2,10.2,17.4,47.199999999999996
221,ZCTA5 01240,28.5,8.7,17.1,45.8
222,ZCTA5 01242,7.5,9.2,28.9,54.400000000000006
223,ZCTA5 01243,22.5,6.7,23.8,46.9
224,ZCTA5 01244,32.2,14.5,14.5,38.7
225,ZCTA5 01245,23.4,17.3,14.8,44.5
226,ZCTA5 01247,43.300000000000004,14.5,16.7,25.499999999999996
227,ZCTA5 01253,19.5,6.0,25.2,49.3
228,ZCTA5 01254,17.700000000000003,10.2,15.3,56.7
229,ZCTA5 01255,15.3,14.4,23.3,46.9
230,ZCTA5 01256,32.300000000000004,14.6,19.6,33.4
231,ZCTA5 01257,33.7,10.1,7.8,48.5
