,ZCTA,TotalPopulation,85andOver,45to54,55to64,65to74,75to84
114,ZCTA5 00953,73537.0,0.7,14.3,10.2,6.3,2.9000000000000004
115,ZCTA5 00956,75830.0,1.5,12.4,10.4,8.5,5.5
116,ZCTA5 00957,44639.0,1.2,11.7,10.8,9.9,5.2
117,ZCTA5 00959,48699.0,1.8,13.4,10.2,7.6,6.2
118,ZCTA5 00960,2037.0,0.0,12.7,2.5,1.0,0.2
119,ZCTA5 00961,31774.0,1.3,13.6,11.8,7.9,5.6
120,ZCTA5 00962,21204.0,1.4,13.3,11.2,7.4,3.9
121,ZCTA5 00965,8978.0,0.2,12.7,11.5,6.9,5.0
122,ZCTA5 00966,15785.0,2.1,11.7,12.4,8.6,7.0
123,ZCTA5 00968,3594.0,11.9,11.8,13.3,18.5,8.6
124,ZCTA5 00969,42316.0,1.7,14.0,12.3,7.8,4.4
125,ZCTA5 00971,30349.0,1.5,14.3,13.5,8.5,4.2
126,ZCTA5 00976,61862.0,1.4,12.100000000000001,11.3,8.2,3.7
127,ZCTA5 00979,16157.0,1.8,16.7,13.2,12.0,6.9
128,ZCTA5 00982,15132.0,2.0,13.8,10.100000000000001,8.7,7.3
129,ZCTA5 00983,40273.0,1.9,13.0,10.9,9.4,5.5
130,ZCTA5 00985,35236.0,1.6,11.0,11.3,11.0,5.2
131,ZCTA5 00987,60544.0,0.9,12.2,10.0,7.2,3.7
132,ZCTA5 01001,17141.0,1.9,16.6,13.7,8.6,5.0
133,ZCTA5 01002,29844.0,0.9,8.2,8.5,4.6,2.9
134,ZCTA5 01003,11062.0,0.0,0.2,0.0,0.0,0.0
135,ZCTA5 01005,5113.0,1.8,12.7,13.5,7.7,1.9
136,ZCTA5 01007,14774.0,0.4,17.4,15.700000000000001,8.7,3.4000000000000004
137,ZCTA5 01008,1212.0,1.0,21.6,20.200000000000003,11.100000000000001,1.6
138,ZCTA5 01009,546.0,0.0,21.0,28.599999999999998,14.1,0.0
139,ZCTA5 01010,3667.0,0.5,15.100000000000001,20.4,9.5,3.4
140,ZCTA5 01011,1478.0,0.3,21.1,15.2,6.9,2.0
141,ZCTA5 01012,499.0,1.6,24.0,21.7,7.1,1.6
142,ZCTA5 01013,22299.0,1.7,14.399999999999999,10.3,6.7,3.9
143,ZCTA5 01020,30593.0,1.9,14.1,15.8,9.0,5.2
144,ZCTA5 01022,2711.0,1.9,10.1,9.8,6.7,4.9
145,ZCTA5 01026,1009.0,4.6,23.0,12.4,7.6,9.2
146,ZCTA5 01027,17652.0,1.3,17.9,16.7,8.3,4.4
147,ZCTA5 01028,15917.0,2.6,19.0,13.7,10.100000000000001,4.800000000000001
148,ZCTA5 01029,701.0,0.6,29.900000000000002,19.9,6.3,13.3
149,ZCTA5 01030,11485.0,1.0,16.9,16.2,8.9,2.8
150,ZCTA5 01031,1389.0,0.9,12.0,15.0,9.5,6.4
151,ZCTA5 01032,585.0,0.0,23.4,8.3,13.4,7.9
152,ZCTA5 01033,6214.0,1.5,14.7,21.4,5.9,3.5
153,ZCTA5 01034,2061.0,1.2,16.6,16.2,12.799999999999999,4.0
154,ZCTA5 01035,5285.0,2.0,14.7,13.9,10.7,6.2
155,ZCTA5 01036,5141.0,1.2,18.8,16.6,12.3,8.0
156,ZCTA5 01037,721.0,0.0,18.6,22.5,13.3,2.4000000000000004
157,ZCTA5 01038,2837.0,1.6,17.8,17.0,5.699999999999999,9.200000000000001
158,ZCTA5 01039,1354.0,2.3,11.9,28.4,7.8,3.5
159,ZCTA5 01040,40079.0,2.3,13.0,10.3,4.7,4.2
160,ZCTA5 01050,2512.0,1.0,20.5,15.9,7.800000000000001,2.6
161,ZCTA5 01053,1847.0,2.7,21.9,9.1,15.7,6.8
162,ZCTA5 01054,1836.0,1.5,10.5,19.0,16.1,5.3
163,ZCTA5 01056,21288.0,1.8,15.3,17.6,8.0,4.4
164,ZCTA5 01057,8645.0,2.3,22.9,18.3,10.0,3.3
165,ZCTA5 01060,15348.0,2.1,15.6,12.100000000000001,8.8,1.7999999999999998
166,ZCTA5 01062,10830.0,0.7,14.7,15.5,10.3,4.2
167,ZCTA5 01063,612.0,0.0,0.0,0.0,0.0,0.0
168,ZCTA5 01066,10.0,0.0,0.0,0.0,0.0,100.0
169,ZCTA5 01068,1791.0,1.4,14.3,22.4,7.1,4.5
170,ZCTA5 01069,8982.0,0.2,17.9,16.4,4.6,3.8
171,ZCTA5 01070,580.0,0.7,13.7,24.6,11.0,8.0
172,ZCTA5 01071,1361.0,0.0,25.9,15.9,5.9,5.4
173,ZCTA5 01072,1482.0,0.6,16.5,22.4,7.3999999999999995,1.6
174,ZCTA5 01073,5958.0,3.8,15.3,17.9,9.6,2.2
175,ZCTA5 01074,301.0,0.0,19.8,0.0,0.0,0.0
176,ZCTA5 01075,17832.0,1.9,14.8,17.4,9.2,6.5
177,ZCTA5 01077,9599.0,1.5,19.4,12.7,7.8,3.9
178,ZCTA5 01079,542.0,0.0,11.1,7.9,1.4,9.3
179,ZCTA5 01080,2176.0,1.6,16.1,14.6,4.8,5.0
180,ZCTA5 01081,1807.0,1.7,13.4,14.9,13.4,3.3
181,ZCTA5 01082,10394.0,1.6,15.899999999999999,14.1,9.9,2.5
182,ZCTA5 01083,3108.0,2.3,17.0,11.8,8.2,3.3
183,ZCTA5 01084,211.0,2.9,20.4,35.9,20.4,3.9
184,ZCTA5 01085,41121.0,1.7,14.4,13.0,8.0,3.7
185,ZCTA5 01086,1038.0,0.0,0.0,0.0,0.0,0.0
186,ZCTA5 01088,446.0,0.0,39.5,4.2,29.0,12.600000000000001
187,ZCTA5 01089,28554.0,1.2,12.4,13.6,7.2,4.6
188,ZCTA5 01092,1078.0,2.9,21.799999999999997,5.2,2.0,2.0
